Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,Total fossil fuels and cement,GCP,CO2,0.41388,0.4908,0.68859,0.70674,0.83855,1.0069,1.0912,1.2819,1.2234,0.94123,1.6704,1.8936,1.5304,1.6356,1.9133,2.1216,1.9812,2.3845,2.1536,2.2332,1.7565,1.9787,2.0949,2.52,2.822,3.5018,3.1341,3.1144,2.8575,2.7655,2.6032,2.4274,1.3795,1.3331,1.2816,1.2305,1.1649,1.0841,1.0292,0.80951,0.75767,0.79796,1.0516,1.186,0.88917,1.3033,1.6354,2.2686,4.1995,6.74,8.3978,12.1058,10.2185,8.4408,7.7743,7.9041,6.7446,6.8598,10.4527,10.7203
Afghanistan,AFG,Oil,GCP,CO2,0.26876,0.29312,0.36274,0.39205,0.47632,0.54227,0.57525,0.55693,0.49682,0.52762,0.67199,0.74746,0.62654,0.70192,0.77091,0.87419,0.88302,0.97462,0.93591,1.1652,0.92526,1.0149,0.99294,1.2201,1.1336,1.5478,1.1395,2.0128,1.821,1.865,1.8503,1.7184,0.92699,0.89402,0.85982,0.8244,0.78043,0.72791,0.69127,0.49464,0.4983,0.49098,0.43968,0.61922,0.56059,0.86104,1.1333,1.2001,2.8103,4.9427,5.8661,7.6028,6.7564,4.7815,3.7703,4.7376,3.4716,3.0668,3.2029,3.4123
Afghanistan,AFG,Coal,GCP,CO2,0.12712,0.17587,0.29678,0.26381,0.30045,0.38106,0.42869,0.39938,0.33243,0.36274,0.43697,0.35907,0.19053,0.31074,0.30469,0.39869,0.42502,0.45067,0.57623,0.35174,0.31576,0.33342,0.38472,0.38472,0.39256,0.39979,0.42502,0.44282,0.3664,0.33709,0.27846,0.24915,0.021984,0.01832,0.014698,0.014656,0.007328,0.0036763,0.003677,0.003664,0.003664,0.069616,0.05496,0.0916,0.0916,0.10626,0.16086,0.74866,1.0772,1.5132,2.246,4.1806,3.1254,3.3269,3.7043,2.8433,2.8783,3.4478,6.9079,6.9927
Afghanistan,AFG,Gas flaring,GCP,CO2,,,,,,,,,,,0.29744,0.30411,0.3664,0.22301,0.3671,0.30359,0.29312,0.38106,0.28261,0.26747,0.30475,0.29312,0.28213,0.29312,0.31551,0.3301,0.32976,0.22324,0.18686,0.040304,0.025648,0.025648,0.021984,0.021984,0.022047,0.021984,0.021984,0.022058,0.022062,0.021984,0.021984,0.021984,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Gas,GCP,CO2,,,,,,,,0.26014,0.34704,,0.21665,0.43968,0.30045,0.33268,0.40014,0.4755,0.30045,0.51296,0.30096,0.38472,0.18725,0.30411,0.39571,0.61555,0.93186,1.192,1.2018,0.39159,0.43968,0.47998,0.40304,0.38838,0.36274,0.35174,0.33805,0.32243,0.30778,0.28308,0.26474,0.24182,0.2235,0.20885,0.54594,0.46533,0.22717,0.32976,0.32903,0.30827,0.29678,0.27114,0.27114,0.30778,0.30778,0.29678,0.27114,0.28213,0.31859,0.30045,0.29705,0.27048
Afghanistan,AFG,Cement,GCP,CO2,0.018012,0.021806,0.029074,0.05088,0.061783,0.083589,0.087223,0.065417,0.047105,0.05088,0.04735,0.043261,0.046488,0.067239,0.070488,0.06965,0.079564,0.065173,0.057915,0.064065,0.023448,0.033135,0.039412,0.0065104,0.048453,0.032002,0.038013,0.043888,0.043531,0.043123,0.045766,0.045766,0.045766,0.046991,0.046991,0.046991,0.0474,0.0474,0.0474,0.0474,0.010216,0.006538,0.011033,0.009807,0.009807,0.006211,0.012177,0.011605,0.015242,0.012872,0.014547,0.014588,0.02893,0.03555,0.028644,0.041189,0.076126,0.044785,0.044785,0.044785
Albania,ALB,Total fossil fuels and cement,GCP,CO2,2.0225,2.279,2.4622,2.0812,2.0152,2.1728,2.5501,2.6784,3.0704,3.2426,3.7409,4.3492,5.6389,5.2872,4.3418,4.591,4.9464,5.7158,6.4889,7.5808,5.1662,7.3353,7.3024,7.6248,7.819,7.8739,8.0498,7.4379,7.3207,8.9768,5.4447,4.2283,2.4952,2.3156,1.9126,2.0665,1.9932,1.5316,1.7441,2.9752,3.0045,3.2207,3.7483,4.2319,4.1037,4.1989,3.8435,3.8289,4.2722,4.2539,4.4481,5.0307,4.6679,4.9281,5.6206,4.5324,4.4957,5.4044,5.403,5.579
Albania,ALB,Oil,GCP,CO2,1.5755,1.8144,1.9566,1.6488,1.5352,1.6204,1.9007,1.9163,2.1837,2.2204,2.483,2.9385,4.0817,3.4955,2.4239,2.4549,2.6547,2.944,3.2848,3.7721,1.5719,3.4937,3.1437,3.1291,2.9459,2.7553,2.8689,2.8227,2.5771,4.0964,2.1728,2.2277,1.4164,1.4779,1.6048,1.7734,1.7551,1.4106,1.6234,2.7917,2.8398,3.1254,3.6384,3.8912,3.7593,3.9097,3.5397,3.375,3.7959,3.4148,3.4918,3.7739,3.1547,3.3306,3.8557,3.3379,3.3626,4.1,4.0902,4.1455
Albania,ALB,Coal,GCP,CO2,0.3261,0.32191,0.36274,0.28213,0.33342,0.39505,0.47701,0.52395,0.5899,0.68883,0.89122,0.98928,1.0809,1.1688,1.2101,1.2604,1.2724,1.699,2.1263,2.6808,2.323,2.6441,2.8799,3.1034,3.4002,3.7226,3.708,3.7355,4.0178,4.056,2.4988,1.4803,0.79993,0.59995,0.16854,0.16122,0.11358,0.043968,0.054845,0.11006,0.069531,0.080608,0.084272,0.084272,0.084272,0.073216,0.07321,0.07321,0.10259,0.38838,0.42869,0.53494,0.62654,0.79509,1.0289,0.35907,0.19068,0.43968,0.44779,0.56711
Albania,ALB,Gas flaring,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
