country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ANNEXI,UNFCCC_AI,Agriculture,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNEXI,UNFCCC_AI,Agriculture,Aggregate GHGs,1754.12,1692.1,1640.1,1631.32,1583.81,1566.97,1555.23,1525.25,1512.51,1486.7,1469.88,1481.07,1471.94,1458.47,1472.46,1455.64,1442.31,1461.05,1454.42,1446.54,1444.93,1441.67,1430.39,1485.98,1502.66,1506.11,1499.72,1514.85,1529.71
ANNEXI,UNFCCC_AI,Agriculture,CH4,903.26,884.31,862.36,846.75,842.77,830.1,815.65,795.09,783.61,771.96,769.38,763.14,759.84,750.85,744.51,747.87,741.22,748.63,736.64,732.33,727.79,723.82,728.6,725.84,727.45,732.05,733.65,743.89,749.09
ANNEXI,UNFCCC_AI,Agriculture,CO2,40.43,35.68,32.28,29.06,25.81,26.15,24.38,24.16,25.01,24.86,24.86,24.53,25.64,26.41,25.44,25.74,24.8,25.73,26.15,24.64,26.22,26,28.85,27.25,28.12,28.12,28.28,29.08,28.84
ANNEXI,UNFCCC_AI,Agriculture,N2O,810.43,772.12,745.46,755.51,715.23,710.72,715.2,706,703.88,689.88,675.64,693.4,686.46,681.22,702.51,682.03,676.29,686.69,691.63,689.57,690.92,691.85,672.94,732.89,747.09,745.94,737.79,741.88,751.78
ANNEXI,UNFCCC_AI,Energy,Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNEXI,UNFCCC_AI,Energy,Aggregate GHGs,15184.26,14927.27,14446.29,14292.68,14086.33,14144.91,14443.48,14329.98,14325.72,14368.14,14553.06,14578.16,14600.06,14826.95,14943.23,14990.25,14974.45,15074.68,14766.99,13834.75,14259.45,14092.68,13903.82,13889.01,13667.84,13496.93,13356.86,13374.49,13470.71
ANNEXI,UNFCCC_AI,Energy,CH4,1046.77,1012.44,983.44,947.39,910.11,892.07,886.43,881.7,857.84,846.33,826.26,822.37,797.16,806.46,804.62,798.08,806.95,802.48,812.04,763.64,776.66,767.93,757.36,750.14,734.95,714.12,705.17,716.93,724.16
ANNEXI,UNFCCC_AI,Energy,CO2,14002.9,13780.53,13327.71,13208.49,13037.4,13109.71,13411.12,13300.25,13318.85,13375.26,13580.88,13612.51,13662.32,13880.16,13999.7,14056.44,14032.99,14141.44,13827.48,12951.08,13361.72,13206.33,13034.98,13027.66,12823.56,12676.51,12547.33,12554.52,12645.28
ANNEXI,UNFCCC_AI,Energy,N2O,134.6,134.3,135.14,136.8,138.82,143.13,145.93,148.03,149.04,146.55,145.92,143.28,140.59,140.33,138.91,135.72,134.51,130.76,127.48,120.04,121.07,118.42,111.48,111.22,109.33,106.31,104.36,103.04,101.27
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate F-gases,286.03,278.31,270.72,263.95,272.7,305.93,319.26,334.18,350.69,329.74,329.06,305.17,307.87,297.75,310.14,321.24,327.81,345.84,354.31,340.65,362.63,373.22,388.16,398.65,409.18,410.1,414.16,426.55,431.09
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate GHGs,1508.75,1419.79,1371.48,1312.96,1324.76,1382.18,1382.9,1397.94,1360.37,1323.48,1353.93,1290.21,1292.51,1304.23,1357.12,1357.71,1382.92,1423.6,1361.82,1174.05,1272.4,1305.63,1299.88,1301.17,1309.99,1294.84,1293.54,1312.4,1331.3
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,CH4,4.19,3.83,3.7,3.49,3.42,3.33,3.24,3.41,3.34,3.49,3.64,4.28,5.05,5.81,6.66,5.99,5.91,5.9,4.43,3.11,3.74,5.17,4.75,3.55,3.43,3.34,3.46,4.39,5.97
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,CO2,1031.86,958.36,923.96,877.67,874.67,895.63,876.86,888.82,867.32,880.28,906.42,873.06,876.08,896.56,934.34,922.94,949.92,968.66,920.47,761.27,843.79,864.24,851.8,849.07,846.67,832.06,826.24,831.93,841.95
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,N2O,186.67,179.28,173.1,167.86,173.98,177.29,183.53,171.53,139.02,109.98,114.82,107.7,103.52,104.11,105.98,107.54,99.29,103.2,82.61,69.01,62.24,63,55.18,49.89,50.72,49.34,49.67,49.53,52.29
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate F-gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,-1281.35,-1325.3,-1337.44,-1320.6,-1463.78,-1535.4,-1662.44,-1724.14,-1867.11,-1881.1,-1846.56,-1889.38,-1910.93,-1831.92,-1843.7,-1862.69,-1906.36,-1828.21,-1847.16,-1958.04,-2031.95,-2046.97,-2047.53,-1964.89,-1930.09,-1905,-1936.64,-1879.44,-1881.13
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CH4,56.29,55.14,52.57,52.97,54.86,52.78,56.14,52.07,58.03,53.72,57.6,54.48,63.53,63.3,58.96,60.43,60.39,68.21,60.17,62.91,56.82,58.21,61.39,54.46,60.8,66.68,56.81,69.05,71.22
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CO2,-1372.41,-1420.2,-1429.59,-1413.24,-1558.66,-1627.12,-1760.35,-1815.05,-1968.29,-1975.3,-1947,-1984.95,-2021.46,-1942.57,-1947.38,-1969.48,-2013.67,-1947.31,-1953.88,-2072.5,-2127.06,-2144.78,-2152.31,-2056.99,-2032.84,-2020.4,-2035.15,-1996,-2003.75
ANNEXI,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",N2O,34.78,39.76,39.58,39.66,40.02,38.94,41.77,38.84,43.14,40.48,42.83,41.1,47,47.35,44.71,46.36,46.92,50.89,46.55,51.55,38.29,39.61,43.39,37.65,41.95,48.73,41.7,47.5,51.4
ANNEXI,UNFCCC_AI,Other,Aggregate F-gases,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNEXI,UNFCCC_AI,Other,Aggregate GHGs,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ANNEXI,UNFCCC_AI,Other,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNEXI,UNFCCC_AI,Other,CO2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
ANNEXI,UNFCCC_AI,Other,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,Aggregate F-gases,286.03,278.31,270.72,263.95,272.7,305.93,319.26,334.18,350.69,329.74,329.06,305.17,307.87,297.75,310.14,321.24,327.81,345.84,354.31,340.65,362.63,373.22,388.16,398.65,409.18,410.1,414.16,426.55,431.09
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,Aggregate GHGs,17769.47,17323.83,16732.7,16527.53,16143.55,16167.91,16323.68,16119.88,15908.67,15865.52,16093.99,16015.35,16004.63,16306.34,16468.51,16471.12,16416.63,16648.39,16245.97,14996.29,15439.3,15274.29,15065.58,15181.63,15017.22,14858.64,14674.08,14781.96,14913.25
ANNEXI,UNFCCC_AI,Total GHG emissions with LULUCF,CH4,2571.06,2522.67,2470.26,2418.03,2377.23,2340.76,2318.72,2275.59,2232.25,2196.24,2172.47,2151.89,2129.05,2126.78,2106.76,2094.9,2090.7,2095,2074.46,2014.64,2012.1,1989.88,1983.85,1956.64,1945.93,1934.28,1911.89,1945.65,1965.19
